"filename", "language", "XML", "Groovy", "Batch", "Properties", "Java", "comment", "blank", "total"
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/fragment_my_route.xml", "XML", 25, 0, 0, 0, 0, 0, 3, 28
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/fragment_profile.xml", "XML", 103, 0, 0, 0, 0, 0, 10, 113
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/fragment_search.xml", "XML", 82, 0, 0, 0, 0, 0, 10, 92
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/list_item_dropdown.xml", "XML", 10, 0, 0, 0, 0, 0, 0, 10
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/list_item_follower.xml", "XML", 44, 0, 0, 0, 0, 0, 7, 51
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/list_item_friend.xml", "XML", 76, 0, 0, 0, 0, 0, 7, 83
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/list_item_history.xml", "XML", 104, 0, 0, 0, 0, 0, 10, 114
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/list_item_my_routes.xml", "XML", 85, 0, 0, 0, 0, 0, 8, 93
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/list_item_searched_route.xml", "XML", 80, 0, 0, 0, 0, 0, 10, 90
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/list_item_shared_route.xml", "XML", 82, 0, 0, 0, 0, 0, 9, 91
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/nav_header.xml", "XML", 20, 0, 0, 0, 0, 0, 3, 23
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/layout/send_route_dialogue_layout.xml", "XML", 35, 0, 0, 0, 0, 0, 6, 41
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/menu/drawer_menu.xml", "XML", 44, 0, 0, 0, 0, 0, 10, 54
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/menu/popup_menu.xml", "XML", 6, 0, 0, 0, 0, 0, 2, 8
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/menu/popup_menu2.xml", "XML", 6, 0, 0, 0, 0, 0, 2, 8
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml", "XML", 5, 0, 0, 0, 0, 0, 0, 5
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml", "XML", 5, 0, 0, 0, 0, 0, 0, 5
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values-land/dimens.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 3
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values-night/themes.xml", "XML", 11, 0, 0, 0, 0, 5, 0, 16
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values-w1240dp/dimens.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 3
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values-w600dp/dimens.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 3
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values/colors.xml", "XML", 11, 0, 0, 0, 0, 0, 0, 11
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values/dimens.xml", "XML", 7, 0, 0, 0, 0, 1, 0, 8
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values/strings.xml", "XML", 63, 0, 0, 0, 0, 7, 14, 84
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/res/values/themes.xml", "XML", 21, 0, 0, 0, 0, 6, 3, 30
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/test/java/com/ninjadroid/app/utils/UtilsTest.java", "Java", 0, 0, 0, 0, 37, 0, 12, 49
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/build.gradle", "Groovy", 0, 19, 0, 0, 0, 3, 3, 25
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/gradle.properties", "Properties", 0, 0, 0, 3, 0, 16, 0, 19
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 1, 1, 7
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/gradlew.bat", "Batch", 0, 0, 61, 0, 0, 0, 24, 85
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/settings.gradle", "Groovy", 0, 2, 0, 0, 0, 0, 0, 2
"Total", "-", 2224, 70, 61, 8, 4410, 343, 1180, 8296
